timestamp,user_id,username,department,ip_address,event_type,failed_login_attempts,files_affected,usb_bluetooth_usage,bytes_sent_kb,bytes_received_kb,destination_site,application_shell_cmd,status,is_anomaly,action,details
2026-03-01T08:00:14.658Z,usr-101,alice.vance,ENGINEERING,10.0.4.12,NETWORK_CONNECTION,0,3,0,165.5,283.2,api.github.com,code .,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:03:06.174Z,usr-105,elena.rostova,SECURITY,10.0.9.3,USB_ACTIVITY,0,31,1,56039,108.5,local_usb_drive_D:,none,SUCCESS,1,ALERT,Unsanctioned USB mass storage write operation detected
2026-03-01T08:05:56.324Z,usr-107,grace.hopper,ENGINEERING,10.0.4.77,NETWORK_CONNECTION,0,4,0,130.9,1168.5,jira.corp.internal,git status,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:08:41.926Z,usr-105,elena.rostova,SECURITY,10.0.9.3,API_REQUEST,0,0,0,214.4,405,internal-portal.corp,docker ps,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:11:43.017Z,usr-103,carol.zhang,HR,10.0.2.88,NETWORK_CONNECTION,0,0,0,218.4,755.9,sharepoint.corp.internal,code .,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:14:57.026Z,usr-108,henry.todd,FINANCE,10.0.5.12,NETWORK_CONNECTION,0,2,0,157.8,1189.4,sharepoint.corp.internal,docker ps,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:17:25.230Z,usr-103,carol.zhang,HR,10.0.2.88,FILE_DOWNLOAD,0,1,0,155.6,554.5,api.github.com,docker ps,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:21:07.444Z,usr-108,henry.todd,FINANCE,10.0.5.12,FILE_ACCESS,0,0,0,202.9,756.2,gitlab.corp.internal,docker ps,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:23:22.330Z,usr-109,isabella.rossi,LEGAL,10.0.3.33,API_REQUEST,0,0,0,143.1,388.9,gitlab.corp.internal,npm test,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:26:01.183Z,usr-101,alice.vance,ENGINEERING,10.0.4.12,FILE_ACCESS,0,1,0,5.7,529,sharepoint.corp.internal,npm test,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:29:21.566Z,usr-109,isabella.rossi,LEGAL,10.0.3.33,FILE_DOWNLOAD,0,2,0,234,528.2,docs.google.com,cat README.md,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:32:03.674Z,usr-105,elena.rostova,SECURITY,10.0.9.3,LOGIN,0,0,0,238.4,54.6,aws.us-east-1.internal,code .,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:35:27.990Z,usr-109,isabella.rossi,LEGAL,10.0.3.33,API_REQUEST,0,4,0,102.2,204.5,gitlab.corp.internal,none,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:37:49.296Z,usr-106,frank.miller,IT,10.0.1.50,FILE_DOWNLOAD,0,3,0,158.3,343.4,internal-portal.corp,git status,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:40:49.391Z,usr-105,elena.rostova,SECURITY,10.0.9.3,FILE_ACCESS,0,1,0,186.6,169.6,api.github.com,npm test,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:43:56.741Z,usr-110,jack.bauer,EXECUTIVE,10.0.8.5,API_REQUEST,0,1,0,202.5,726.2,jira.corp.internal,none,SUCCESS,0,ALLOW,Standard baseline telemetry activity
2026-03-01T08:46:05.519Z,usr-103,carol.zhang,HR,10.0.2.88,FILE_DOWNLOAD,0,3,0,191.5,396.5,docs.google.com,docker ps,SUCCESS,0,ALLOW,Standard baseline telemetry activity
